"GC","GC2","Name","Server","ActivationPreference","ReplayLagTime","TruncationLagTime"
"VersionNumber","2.1","6.6",,,,"0.00:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB1","E15-3","2","0.00:00:00","0.00:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB1","E15-2","3","0.00:00:00","0.00:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB1","E15-4","4","7.0:00:00","0.0:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB2","E15-1","2","0.00:00:00","0.00:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB2","E15-4","3","0.00:00:00","0.00:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB2","E15-2","4","7.0:00:00","0.0:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB3","E15-4","2","0.00:00:00","0.00:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB3","E15-1","3","0.00:00:00","0.00:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB3","E15-3","4","7.0:00:00","0.0:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB4","E15-2","2","0.00:00:00","0.00:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB4","E15-3","3","0.00:00:00","0.00:00:00"
"GC1.contoso.com","GC2.contoso.com","DAG-nn-DB4","E15-1","4","7.0:00:00","0.0:00:00"
